 #           1           1           1           1
           4           4           1           1           3           5   0.0000000000000000     
           4           4           1           1           3           6   0.0000000000000000     
           4           4           1           1           4           4   0.0000000000000000     
           4           4           1           1           4           5   0.0000000000000000     
           4           4           1           1           4           6   0.0000000000000000     
           4           4           1           1           5           5   0.0000000000000000     
           4           4           1           1           5           6   0.0000000000000000     
           4           4           1           1           6           6   0.0000000000000000     
           4           4           1           2           2           2   0.0000000000000000     
           4           4           1           2           2           3   0.0000000000000000     
           4           4           1           2           2           4   0.0000000000000000     
           4           4           1           2           2           5   0.0000000000000000     
           4           4           1           2           2           6   0.0000000000000000     
           4           4           1           2           3           3   0.0000000000000000     
           4           4           1           2           3           4   0.0000000000000000     
           4           4           1           2           3           5   0.0000000000000000     
           4           4           1           2           3           6   0.0000000000000000     
           4           4           1           2           4           4   0.0000000000000000     
           4           4           1           2           4           5   0.0000000000000000     
           4           4           1           2           4           6   0.0000000000000000     
           4           4           1           2           5           5   0.0000000000000000     
           4           4           1           2           5           6   0.0000000000000000     
           4           4           1           2           6           6   0.0000000000000000     
           4           4           1           3           3           3   0.0000000000000000     
           4           4           1           3           3           4   0.0000000000000000     
           4           4           1           3           3           5   0.0000000000000000     
           4           4           1           3           3           6   0.0000000000000000     
           4           4           1           3           4           4   0.0000000000000000     
           4           4           1           3           4           5   0.0000000000000000     
           4           4           1           3           4           6   0.0000000000000000     
           4           4           1           3           5           5   0.0000000000000000     
           4           4           1           3           5           6   0.0000000000000000     
           4           4           1           3           6           6   0.0000000000000000     
           4           4           1           4           4           4   0.0000000000000000     
           4           4           1           4           4           5   0.0000000000000000     
           4           4           1           4           4           6   0.0000000000000000     
           4           4           1           4           5           5   0.0000000000000000     
           4           4           1           4           5           6   0.0000000000000000     
           4           4           1           4           6           6   0.0000000000000000     
           4           4           1           5           5           5   0.0000000000000000     
           4           4           1           5           5           6   0.0000000000000000     
           4           4           1           5           6           6   0.0000000000000000     
           4           4           1           6           6           6   0.0000000000000000     
           4           4           2           2           2           2   0.0000000000000000     
           4           4           2           2           2           3   0.0000000000000000     
           4           4           2           2           2           4   0.0000000000000000     
           4           4           2           2           2           5   0.0000000000000000     
           4           4           2           2           2           6   0.0000000000000000     
           4           4           2           2           3           3   0.0000000000000000     
           4           4           2           2           3           4   0.0000000000000000     
           4           4           2           2           3           5   0.0000000000000000     
           4           4           2           2           3           6   0.0000000000000000     
           4           4           2           2           4           4   0.0000000000000000     
           4           4           2           2           4           5   0.0000000000000000     
           4           4           2           2           4           6   0.0000000000000000     
           4           4           2           2           5           5   0.0000000000000000     
           4           4           2           2           5           6   0.0000000000000000     
           4           4           2           2           6           6   0.0000000000000000     
           4           4           2           3           3           3   0.0000000000000000     
           4           4           2           3           3           4   0.0000000000000000     
           4           4           2           3           3           5   0.0000000000000000     
           4           4           2           3           3           6   0.0000000000000000     
           4           4           2           3           4           4   0.0000000000000000     
           4           4           2           3           4           5   0.0000000000000000     
           4           4           2           3           4           6   0.0000000000000000     
           4           4           2           3           5           5   0.0000000000000000     
           4           4           2           3           5           6   0.0000000000000000     
           4           4           2           3           6           6   0.0000000000000000     
           4           4           2           4           4           4   0.0000000000000000     
           4           4           2           4           4           5   0.0000000000000000     
           4           4           2           4           4           6   0.0000000000000000     
           4           4           2           4           5           5   0.0000000000000000     
           4           4           2           4           5           6   0.0000000000000000     
           4           4           2           4           6           6   0.0000000000000000     
           4           4           2           5           5           5   0.0000000000000000     
           4           4           2           5           5           6   0.0000000000000000     
           4           4           2           5           6           6   0.0000000000000000     
           4           4           2           6           6           6   0.0000000000000000     
           4           4           3           3           3           3   0.0000000000000000     
           4           4           3           3           3           4   0.0000000000000000     
           4           4           3           3           3           5   0.0000000000000000     
           4           4           3           3           3           6   0.0000000000000000     
           4           4           3           3           4           4   0.0000000000000000     
           4           4           3           3           4           5   0.0000000000000000     
           4           4           3           3           4           6   0.0000000000000000     
           4           4           3           3           5           5   0.0000000000000000     
           4           4           3           3           5           6   0.0000000000000000     
           4           4           3           3           6           6   0.0000000000000000     
           4           4           3           4           4           4   0.0000000000000000     
           4           4           3           4           4           5   0.0000000000000000     
           4           4           3           4           4           6   0.0000000000000000     
           4           4           3           4           5           5   0.0000000000000000     
           4           4           3           4           5           6   0.0000000000000000     
           4           4           3           4           6           6   0.0000000000000000     
           4           4           3           5           5           5   0.0000000000000000     
           4           4           3           5           5           6   0.0000000000000000     
           4           4           3           5           6           6   0.0000000000000000     
           4           4           3           6           6           6   0.0000000000000000     
           4           4           4           4           4           4   0.0000000000000000     
           4           4           4           4           4           5   0.0000000000000000     
           4           4           4           4           4           6   0.0000000000000000     
           4           4           4           4           5           5   0.0000000000000000     
           4           4           4           4           5           6   0.0000000000000000     
           4           4           4           4           6           6   0.0000000000000000     
           4           4           4           5           5           5   0.0000000000000000     
           4           4           4           5           5           6   0.0000000000000000     
           4           4           4           5           6           6   0.0000000000000000     
           4           4           4           6           6           6   0.0000000000000000     
           4           4           5           5           5           5   0.0000000000000000     
           4           4           5           5           5           6   0.0000000000000000     
           4           4           5           5           6           6   0.0000000000000000     
           4           4           5           6           6           6   0.0000000000000000     
           4           4           6           6           6           6   0.0000000000000000     
           5           2           1           1   0.0000000000000000     
           5           2           1           2   0.0000000000000000     
           5           2           1           3   0.0000000000000000     
           5           2           1           4   0.0000000000000000     
           5           2           1           5   0.0000000000000000     
           5           2           1           6   0.0000000000000000     
           5           2           2           2   0.0000000000000000     
           5           2           2           3   0.0000000000000000     
           5           2           2           4   0.0000000000000000     
           5           2           2           5   0.0000000000000000     
           5           2           2           6   0.0000000000000000     
           5           2           3           3   0.0000000000000000     
           5           2           3           4   0.0000000000000000     
           5           2           3           5   0.0000000000000000     
           5           2           3           6   0.0000000000000000     
           5           2           4           4   0.0000000000000000     
           5           2           4           5   0.0000000000000000     
           5           2           4           6   0.0000000000000000     
           5           2           5           5   0.0000000000000000     
           5           2           5           6   0.0000000000000000     
           5           2           6           6   0.0000000000000000     
           5           3           1           1           1   0.0000000000000000     
           5           3           1           1           2   0.0000000000000000     
           5           3           1           1           3   0.0000000000000000     
           5           3           1           1           4   0.0000000000000000     
           5           3           1           1           5   0.0000000000000000     
           5           3           1           1           6   0.0000000000000000     
           5           3           1           2           2   0.0000000000000000     
           5           3           1           2           3   0.0000000000000000     
           5           3           1           2           4   0.0000000000000000     
           5           3           1           2           5   0.0000000000000000     
           5           3           1           2           6   0.0000000000000000     
           5           3           1           3           3   0.0000000000000000     
           5           3           1           3           4   0.0000000000000000     
           5           3           1           3           5   0.0000000000000000     
           5           3           1           3           6   0.0000000000000000     
           5           3           1           4           4   0.0000000000000000     
           5           3           1           4           5   0.0000000000000000     
           5           3           1           4           6   0.0000000000000000     
           5           3           1           5           5   0.0000000000000000     
           5           3           1           5           6   0.0000000000000000     
           5           3           1           6           6   0.0000000000000000     
           5           3           2           2           2   0.0000000000000000     
           5           3           2           2           3   0.0000000000000000     
           5           3           2           2           4   0.0000000000000000     
           5           3           2           2           5   0.0000000000000000     
           5           3           2           2           6   0.0000000000000000     
           5           3           2           3           3   0.0000000000000000     
           5           3           2           3           4   0.0000000000000000     
           5           3           2           3           5   0.0000000000000000     
           5           3           2           3           6   0.0000000000000000     
           5           3           2           4           4   0.0000000000000000     
           5           3           2           4           5   0.0000000000000000     
           5           3           2           4           6   0.0000000000000000     
           5           3           2           5           5   0.0000000000000000     
           5           3           2           5           6   0.0000000000000000     
           5           3           2           6           6   0.0000000000000000     
           5           3           3           3           3   0.0000000000000000     
           5           3           3           3           4   0.0000000000000000     
           5           3           3           3           5   0.0000000000000000     
           5           3           3           3           6   0.0000000000000000     
           5           3           3           4           4   0.0000000000000000     
           5           3           3           4           5   0.0000000000000000     
           5           3           3           4           6   0.0000000000000000     
           5           3           3           5           5   0.0000000000000000     
           5           3           3           5           6   0.0000000000000000     
           5           3           3           6           6   0.0000000000000000     
           5           3           4           4           4   0.0000000000000000     
           5           3           4           4           5   0.0000000000000000     
           5           3           4           4           6   0.0000000000000000     
           5           3           4           5           5   0.0000000000000000     
           5           3           4           5           6   0.0000000000000000     
           5           3           4           6           6   0.0000000000000000     
           5           3           5           5           5   0.0000000000000000     
           5           3           5           5           6   0.0000000000000000     
           5           3           5           6           6   0.0000000000000000     
           5           3           6           6           6   0.0000000000000000     
           5           4           1           1           1           1   0.0000000000000000     
           5           4           1           1           1           2   0.0000000000000000     
           5           4           1           1           1           3   0.0000000000000000     
           5           4           1           1           1           4   0.0000000000000000     
           5           4           1           1           1           5   0.0000000000000000     
           5           4           1           1           1           6   0.0000000000000000     
           5           4           1           1           2           2   0.0000000000000000     
           5           4           1           1           2           3   0.0000000000000000     
           5           4           1           1           2           4   0.0000000000000000     
           5           4           1           1           2           5   0.0000000000000000     
           5           4           1           1           2           6   0.0000000000000000     
           5           4           1           1           3           3   0.0000000000000000     
           5           4           1           1           3           4   0.0000000000000000     
           5           4           1           1           3           5   0.0000000000000000     
           5           4           1           1           3           6   0.0000000000000000     
           5           4           1           1           4           4   0.0000000000000000     
           5           4           1           1           4           5   0.0000000000000000     
           5           4           1           1           4           6   0.0000000000000000     
           5           4           1           1           5           5   0.0000000000000000     
           5           4           1           1           5           6   0.0000000000000000     
           5           4           1           1           6           6   0.0000000000000000     
           5           4           1           2           2           2   0.0000000000000000     
           5           4           1           2           2           3   0.0000000000000000     
           5           4           1           2           2           4   0.0000000000000000     
           5           4           1           2           2           5   0.0000000000000000     
           5           4           1           2           2           6   0.0000000000000000     
           5           4           1           2           3           3   0.0000000000000000     
           5           4           1           2           3           4   0.0000000000000000     
           5           4           1           2           3           5   0.0000000000000000     
           5           4           1           2           3           6   0.0000000000000000     
           5           4           1           2           4           4   0.0000000000000000     
           5           4           1           2           4           5   0.0000000000000000     
           5           4           1           2           4           6   0.0000000000000000     
           5           4           1           2           5           5   0.0000000000000000     
           5           4           1           2           5           6   0.0000000000000000     
           5           4           1           2           6           6   0.0000000000000000     
           5           4           1           3           3           3   0.0000000000000000     
           5           4           1           3           3           4   0.0000000000000000     
           5           4           1           3           3           5   0.0000000000000000     
           5           4           1           3           3           6   0.0000000000000000     
           5           4           1           3           4           4   0.0000000000000000     
           5           4           1           3           4           5   0.0000000000000000     
           5           4           1           3           4           6   0.0000000000000000     
           5           4           1           3           5           5   0.0000000000000000     
           5           4           1           3           5           6   0.0000000000000000     
           5           4           1           3           6           6   0.0000000000000000     
           5           4           1           4           4           4   0.0000000000000000     
           5           4           1           4           4           5   0.0000000000000000     
           5           4           1           4           4           6   0.0000000000000000     
           5           4           1           4           5           5   0.0000000000000000     
           5           4           1           4           5           6   0.0000000000000000     
           5           4           1           4           6           6   0.0000000000000000     
           5           4           1           5           5           5   0.0000000000000000     
           5           4           1           5           5           6   0.0000000000000000     
           5           4           1           5           6           6   0.0000000000000000     
           5           4           1           6           6           6   0.0000000000000000     
           5           4           2           2           2           2   0.0000000000000000     
           5           4           2           2           2           3   0.0000000000000000     
           5           4           2           2           2           4   0.0000000000000000     
           5           4           2           2           2           5   0.0000000000000000     
           5           4           2           2           2           6   0.0000000000000000     
           5           4           2           2           3           3   0.0000000000000000     
           5           4           2           2           3           4   0.0000000000000000     
           5           4           2           2           3           5   0.0000000000000000     
           5           4           2           2           3           6   0.0000000000000000     
           5           4           2           2           4           4   0.0000000000000000     
           5           4           2           2           4           5   0.0000000000000000     
           5           4           2           2           4           6   0.0000000000000000     
           5           4           2           2           5           5   0.0000000000000000     
           5           4           2           2           5           6   0.0000000000000000     
           5           4           2           2           6           6   0.0000000000000000     
           5           4           2           3           3           3   0.0000000000000000     
           5           4           2           3           3           4   0.0000000000000000     
           5           4           2           3           3           5   0.0000000000000000     
           5           4           2           3           3           6   0.0000000000000000     
           5           4           2           3           4           4   0.0000000000000000     
           5           4           2           3           4           5   0.0000000000000000     
           5           4           2           3           4           6   0.0000000000000000     
           5           4           2           3           5           5   0.0000000000000000     
           5           4           2           3           5           6   0.0000000000000000     
           5           4           2           3           6           6   0.0000000000000000     
           5           4           2           4           4           4   0.0000000000000000     
           5           4           2           4           4           5   0.0000000000000000     
           5           4           2           4           4           6   0.0000000000000000     
           5           4           2           4           5           5   0.0000000000000000     
           5           4           2           4           5           6   0.0000000000000000     
           5           4           2           4           6           6   0.0000000000000000     
           5           4           2           5           5           5   0.0000000000000000     
           5           4           2           5           5           6   0.0000000000000000     
           5           4           2           5           6           6   0.0000000000000000     
           5           4           2           6           6           6   0.0000000000000000     
           5           4           3           3           3           3   0.0000000000000000     
           5           4           3           3           3           4   0.0000000000000000     
           5           4           3           3           3           5   0.0000000000000000     
           5           4           3           3           3           6   0.0000000000000000     
           5           4           3           3           4           4   0.0000000000000000     
           5           4           3           3           4           5   0.0000000000000000     
           5           4           3           3           4           6   0.0000000000000000     
           5           4           3           3           5           5   0.0000000000000000     
           5           4           3           3           5           6   0.0000000000000000     
           5           4           3           3           6           6   0.0000000000000000     
           5           4           3           4           4           4   0.0000000000000000     
           5           4           3           4           4           5   0.0000000000000000     
           5           4           3           4           4           6   0.0000000000000000     
           5           4           3           4           5           5   0.0000000000000000     
           5           4           3           4           5           6   0.0000000000000000     
           5           4           3           4           6           6   0.0000000000000000     
           5           4           3           5           5           5   0.0000000000000000     
           5           4           3           5           5           6   0.0000000000000000     
           5           4           3           5           6           6   0.0000000000000000     
           5           4           3           6           6           6   0.0000000000000000     
           5           4           4           4           4           4   0.0000000000000000     
           5           4           4           4           4           5   0.0000000000000000     
           5           4           4           4           4           6   0.0000000000000000     
           5           4           4           4           5           5   0.0000000000000000     
           5           4           4           4           5           6   0.0000000000000000     
           5           4           4           4           6           6   0.0000000000000000     
           5           4           4           5           5           5   0.0000000000000000     
           5           4           4           5           5           6   0.0000000000000000     
           5           4           4           5           6           6   0.0000000000000000     
           5           4           4           6           6           6   0.0000000000000000     
           5           4           5           5           5           5   0.0000000000000000     
           5           4           5           5           5           6   0.0000000000000000     
           5           4           5           5           6           6   0.0000000000000000     
           5           4           5           6           6           6   0.0000000000000000     
           5           4           6           6           6           6   0.0000000000000000     
           6           2           1           1   0.0000000000000000     
           6           2           1           2   0.0000000000000000     
           6           2           1           3   0.0000000000000000     
           6           2           1           4   0.0000000000000000     
           6           2           1           5   0.0000000000000000     
           6           2           1           6   0.0000000000000000     
           6           2           2           2   0.0000000000000000     
           6           2           2           3   0.0000000000000000     
           6           2           2           4   0.0000000000000000     
           6           2           2           5   0.0000000000000000     
           6           2           2           6   0.0000000000000000     
           6           2           3           3   0.0000000000000000     
           6           2           3           4   0.0000000000000000     
           6           2           3           5   0.0000000000000000     
           6           2           3           6   0.0000000000000000     
           6           2           4           4   0.0000000000000000     
           6           2           4           5   0.0000000000000000     
           6           2           4           6   0.0000000000000000     
           6           2           5           5   0.0000000000000000     
           6           2           5           6   0.0000000000000000     
           6           2           6           6   0.0000000000000000     
           6           3           1           1           1   0.0000000000000000     
           6           3           1           1           2   0.0000000000000000     
           6           3           1           1           3   0.0000000000000000     
           6           3           1           1           4   0.0000000000000000     
           6           3           1           1           5   0.0000000000000000     
           6           3           1           1           6   0.0000000000000000     
           6           3           1           2           2   0.0000000000000000     
           6           3           1           2           3   0.0000000000000000     
           6           3           1           2           4   0.0000000000000000     
           6           3           1           2           5   0.0000000000000000     
           6           3           1           2           6   0.0000000000000000     
           6           3           1           3           3   0.0000000000000000     
           6           3           1           3           4   0.0000000000000000     
           6           3           1           3           5   0.0000000000000000     
           6           3           1           3           6   0.0000000000000000     
           6           3           1           4           4   0.0000000000000000     
           6           3           1           4           5   0.0000000000000000     
           6           3           1           4           6   0.0000000000000000     
           6           3           1           5           5   0.0000000000000000     
           6           3           1           5           6   0.0000000000000000     
           6           3           1           6           6   0.0000000000000000     
           6           3           2           2           2   0.0000000000000000     
           6           3           2           2           3   0.0000000000000000     
           6           3           2           2           4   0.0000000000000000     
           6           3           2           2           5   0.0000000000000000     
           6           3           2           2           6   0.0000000000000000     
           6           3           2           3           3   0.0000000000000000     
           6           3           2           3           4   0.0000000000000000     
           6           3           2           3           5   0.0000000000000000     
           6           3           2           3           6   0.0000000000000000     
           6           3           2           4           4   0.0000000000000000     
           6           3           2           4           5   0.0000000000000000     
           6           3           2           4           6   0.0000000000000000     
           6           3           2           5           5   0.0000000000000000     
           6           3           2           5           6   0.0000000000000000     
           6           3           2           6           6   0.0000000000000000     
           6           3           3           3           3   0.0000000000000000     
           6           3           3           3           4   0.0000000000000000     
           6           3           3           3           5   0.0000000000000000     
           6           3           3           3           6   0.0000000000000000     
           6           3           3           4           4   0.0000000000000000     
           6           3           3           4           5   0.0000000000000000     
           6           3           3           4           6   0.0000000000000000     
           6           3           3           5           5   0.0000000000000000     
           6           3           3           5           6   0.0000000000000000     
           6           3           3           6           6   0.0000000000000000     
           6           3           4           4           4   0.0000000000000000     
           6           3           4           4           5   0.0000000000000000     
           6           3           4           4           6   0.0000000000000000     
           6           3           4           5           5   0.0000000000000000     
           6           3           4           5           6   0.0000000000000000     
           6           3           4           6           6   0.0000000000000000     
           6           3           5           5           5   0.0000000000000000     
           6           3           5           5           6   0.0000000000000000     
           6           3           5           6           6   0.0000000000000000     
           6           3           6           6           6   0.0000000000000000     
           6           4           1           1           1           1   0.0000000000000000     
           6           4           1           1           1           2   0.0000000000000000     
           6           4           1           1           1           3   0.0000000000000000     
           6           4           1           1           1           4   0.0000000000000000     
           6           4           1           1           1           5   0.0000000000000000     
           6           4           1           1           1           6   0.0000000000000000     
           6           4           1           1           2           2   0.0000000000000000     
           6           4           1           1           2           3   0.0000000000000000     
           6           4           1           1           2           4   0.0000000000000000     
           6           4           1           1           2           5   0.0000000000000000     
           6           4           1           1           2           6   0.0000000000000000     
           6           4           1           1           3           3   0.0000000000000000     
           6           4           1           1           3           4   0.0000000000000000     
           6           4           1           1           3           5   0.0000000000000000     
           6           4           1           1           3           6   0.0000000000000000     
           6           4           1           1           4           4   0.0000000000000000     
           6           4           1           1           4           5   0.0000000000000000     
           6           4           1           1           4           6   0.0000000000000000     
           6           4           1           1           5           5   0.0000000000000000     
           6           4           1           1           5           6   0.0000000000000000     
           6           4           1           1           6           6   0.0000000000000000     
           6           4           1           2           2           2   0.0000000000000000     
           6           4           1           2           2           3   0.0000000000000000     
           6           4           1           2           2           4   0.0000000000000000     
           6           4           1           2           2           5   0.0000000000000000     
           6           4           1           2           2           6   0.0000000000000000     
           6           4           1           2           3           3   0.0000000000000000     
           6           4           1           2           3           4   0.0000000000000000     
           6           4           1           2           3           5   0.0000000000000000     
           6           4           1           2           3           6   0.0000000000000000     
           6           4           1           2           4           4   0.0000000000000000     
           6           4           1           2           4           5   0.0000000000000000     
           6           4           1           2           4           6   0.0000000000000000     
           6           4           1           2           5           5   0.0000000000000000     
           6           4           1           2           5           6   0.0000000000000000     
           6           4           1           2           6           6   0.0000000000000000     
           6           4           1           3           3           3   0.0000000000000000     
           6           4           1           3           3           4   0.0000000000000000     
           6           4           1           3           3           5   0.0000000000000000     
           6           4           1           3           3           6   0.0000000000000000     
           6           4           1           3           4           4   0.0000000000000000     
           6           4           1           3           4           5   0.0000000000000000     
           6           4           1           3           4           6   0.0000000000000000     
           6           4           1           3           5           5   0.0000000000000000     
           6           4           1           3           5           6   0.0000000000000000     
           6           4           1           3           6           6   0.0000000000000000     
           6           4           1           4           4           4   0.0000000000000000     
           6           4           1           4           4           5   0.0000000000000000     
           6           4           1           4           4           6   0.0000000000000000     
           6           4           1           4           5           5   0.0000000000000000     
           6           4           1           4           5           6   0.0000000000000000     
           6           4           1           4           6           6   0.0000000000000000     
           6           4           1           5           5           5   0.0000000000000000     
           6           4           1           5           5           6   0.0000000000000000     
           6           4           1           5           6           6   0.0000000000000000     
           6           4           1           6           6           6   0.0000000000000000     
           6           4           2           2           2           2   0.0000000000000000     
           6           4           2           2           2           3   0.0000000000000000     
           6           4           2           2           2           4   0.0000000000000000     
           6           4           2           2           2           5   0.0000000000000000     
           6           4           2           2           2           6   0.0000000000000000     
           6           4           2           2           3           3   0.0000000000000000     
           6           4           2           2           3           4   0.0000000000000000     
           6           4           2           2           3           5   0.0000000000000000     
           6           4           2           2           3           6   0.0000000000000000     
           6           4           2           2           4           4   0.0000000000000000     
           6           4           2           2           4           5   0.0000000000000000     
           6           4           2           2           4           6   0.0000000000000000     
           6           4           2           2           5           5   0.0000000000000000     
           6           4           2           2           5           6   0.0000000000000000     
           6           4           2           2           6           6   0.0000000000000000     
           6           4           2           3           3           3   0.0000000000000000     
           6           4           2           3           3           4   0.0000000000000000     
           6           4           2           3           3           5   0.0000000000000000     
           6           4           2           3           3           6   0.0000000000000000     
           6           4           2           3           4           4   0.0000000000000000     
           6           4           2           3           4           5   0.0000000000000000     
           6           4           2           3           4           6   0.0000000000000000     
           6           4           2           3           5           5   0.0000000000000000     
           6           4           2           3           5           6   0.0000000000000000     
           6           4           2           3           6           6   0.0000000000000000     
           6           4           2           4           4           4   0.0000000000000000     
           6           4           2           4           4           5   0.0000000000000000     
           6           4           2           4           4           6   0.0000000000000000     
           6           4           2           4           5           5   0.0000000000000000     
           6           4           2           4           5           6   0.0000000000000000     
